run,spectrum,nhit_bin,cells,total_excess,total_expected_counts,total_observed_over_expected,valid_ratio_cells,median_observed_over_expected,cells_observed_over_expected_gt_1,cells_observed_over_expected_gt_1p5
v3_nhit_only,official_pass5,"[1100,2000)",1,338.1421211249114,289.78853952868934,1.1668581568990413,1,1.1668581568990413,1,0
v3_nhit_only,official_pass5,"[125,200)",1,1885.4965745534137,4257.8240945057205,0.44283101713536055,1,0.44283101713536055,0,0
v3_nhit_only,official_pass5,"[200,300)",1,3679.5001457466824,3527.2447182777128,1.0431655412736185,1,1.0431655412736185,1,0
v3_nhit_only,official_pass5,"[2000,3000)",1,28.231737999834667,17.940292366120925,1.5736498282017113,1,1.5736498282017113,1,1
v3_nhit_only,official_pass5,"[300,500)",1,4446.368373305411,3346.3018871597747,1.3287409574033786,1,1.3287409574033786,1,0
v3_nhit_only,official_pass5,"[500,800)",1,1984.5204338870794,1755.0185265194043,1.1307689371364238,1,1.1307689371364238,1,0
v3_nhit_only,official_pass5,"[800,1100)",1,741.4443776969393,555.2009601448699,1.33545226129197,1,1.33545226129197,1,0
v3_nhit_only,tutorial_v099,"[1100,2000)",1,338.1421211249114,314.5845366931898,1.0748847501512668,1,1.0748847501512668,1,0
v3_nhit_only,tutorial_v099,"[125,200)",1,1885.4965745534137,4543.96632132038,0.41494510329150686,1,0.41494510329150686,0,0
v3_nhit_only,tutorial_v099,"[200,300)",1,3679.5001457466824,3747.9766985127735,0.9817297282575788,1,0.9817297282575788,0,0
v3_nhit_only,tutorial_v099,"[2000,3000)",1,28.231737999834667,19.75188205755098,1.4293188830095263,1,1.4293188830095263,1,0
v3_nhit_only,tutorial_v099,"[300,500)",1,4446.368373305411,3544.7524716289568,1.254352288034974,1,1.254352288034974,1,0
v3_nhit_only,tutorial_v099,"[500,800)",1,1984.5204338870794,1867.2178159461118,1.0628221394093387,1,1.0628221394093387,1,0
v3_nhit_only,tutorial_v099,"[800,1100)",1,741.4443776969393,598.3060873887268,1.2392392344409056,1,1.2392392344409056,1,0
